schema,table_name,column_name,ref_schema,ref_table,ref_column,constraint_name
public,deposits,member_id,public,members,id,deposits_member_id_fkey
public,financials_annual,symbol,public,tickers,symbol,financials_annual_symbol_fkey
public,group_members,group_id,public,groups,id,group_members_group_id_fkey
public,meeting_report_members,meeting_report_id,public,meeting_reports,id,meeting_report_members_meeting_report_id_fkey
public,meeting_report_members,member_id,public,members,id,meeting_report_members_member_id_fkey
public,member_dues,member_id,public,members,id,member_dues_member_id_fkey
public,member_invite_logs,member_id,public,members,id,member_invite_logs_member_id_fkey
public,member_post_comments,author_id,public,profiles,id,member_post_comments_author_id_fkey
public,member_post_comments,post_id,public,member_posts,id,member_post_comments_post_id_fkey
public,member_post_likes,post_id,public,member_posts,id,member_post_likes_post_id_fkey
public,member_posts,author_id,public,profiles,id,member_posts_author_id_fkey
public,member_to_auth,member_id,public,members,id,member_to_auth_member_id_fkey
public,member_unit_transactions,member_id,public,members,id,member_unit_transactions_member_id_fkey
public,notes,group_id,public,groups,id,notes_group_id_fkey
public,prices_daily,symbol,public,tickers,symbol,prices_daily_symbol_fkey
public,ratios_annual,symbol,public,tickers,symbol,ratios_annual_symbol_fkey
public,schwab_account_snapshots,account_id,public,schwab_accounts,id,schwab_account_snapshots_account_id_fkey
public,watchlist_items,watchlist_id,public,watchlists,id,watchlist_items_watchlist_id_fkey
public,watchlists,group_id,public,groups,id,watchlists_group_id_fkey