member_id,dues_recorded_at,dues_paid_buyout,dues_owed_oct_25,total_contribution
0711d2eb-e859-40cf-b50a-d6ca29e665a7,"""2025-11-21T18:17:35.758Z""",0.00,-150.00,500.00
07d5ed31-43f1-416a-b1c3-ca78f7653a59,"""2025-11-21T18:17:35.758Z""",0.00,500.00,16200.00
1cbc15d6-9871-4e32-97f1-4f1d7cfb0d0a,"""2025-11-21T18:17:35.758Z""",0.00,-29600.00,45500.00
1d5e016e-ca01-458e-b6c0-37da787a9e4a,"""2025-11-21T18:17:35.758Z""",0.00,-753.00,13453.00
25d8b6c2-42e2-438d-a385-83cac3d36f6b,"""2025-11-21T18:17:35.758Z""",0.00,250.00,6750.00
2e5f4801-a985-4711-a3f0-8d2c68c4bf6f,"""2025-11-21T18:17:35.758Z""",0.00,-1110.00,21847.30
4f8d6238-d580-4977-94dd-3c1085b71db6,"""2025-11-21T18:17:35.758Z""",0.00,-130.00,29189.30
60724842-cbe9-4e0c-9c8d-3c65d144c3b0,"""2025-11-21T18:17:35.758Z""",0.00,499.00,7201.00
847ceafd-c364-4193-8b9c-9bd28bfec587,"""2025-11-21T18:17:35.758Z""",0.00,-5950.00,33909.30
94fa78e7-34ed-4b82-b4bb-22152c7583b9,"""2025-11-21T18:17:35.758Z""",0.00,-1150.00,22000.00
a89f50d7-2101-4551-8412-7678ba1f7dd1,"""2025-11-21T18:17:35.758Z""",0.00,150.00,10250.00
b16884b5-dca4-465e-b348-20a1241ef705,"""2025-11-21T18:17:35.758Z""",1050.00,50.00,19671.30
b31376be-8345-4108-8c46-042c869c97e6,"""2025-11-21T18:17:35.758Z""",0.00,1500.00,550.00
ba3a951a-e2da-4f77-85c8-873d2e605efd,"""2025-11-21T18:17:35.758Z""",0.00,600.00,6780.00
baa718ad-0b7e-466a-878c-2fe870ae52bd,"""2025-11-21T18:17:35.758Z""",0.00,-100.00,15050.00
da9e38a7-ee4c-428f-b919-e6411029e761,"""2025-11-21T18:17:35.758Z""",100.00,-9250.00,26300.00
e2bb568f-7e0f-4314-a660-bb9edf1f04be,"""2025-11-21T18:17:35.758Z""",0.00,-32331.00,61301.00
f6a3a600-f0d7-4697-961f-75ad8ff7bde5,"""2025-11-21T18:17:35.758Z""",200.00,0.00,22109.30
f75aac14-14fa-468f-9535-ecb22bf5aff3,"""2025-11-21T18:17:35.758Z""",0.00,-1492.00,6671.00
f7627b68-8289-4a12-9fb3-8c8dcf467aa4,"""2025-11-21T18:17:35.758Z""",0.00,100.00,9500.00