schema,table,rows
public,schwab_positions,1936
public,schwab_account_snapshots,19
public,meeting_report_members,417
public,members,22
public,schwab_tokens,105
public,deposits,26
public,schwab_accounts,1
public,staging_ffa_timeline,403
public,meeting_report_members_import,417
public,org_balance_history,28
public,club_unit_valuations,1
public,member_accounts,23
public,security_master,28
public,org_documents,2
public,meeting_reports,21
public,staging_member_monthly_balances,385
public,member_dues,20
public,member_to_auth,18
public,member_name_aliases,25
public,member_post_likes,1
public,member_invite_logs,0
public,member_post_comments,1
public,payment_history,0
public,unit_prices,0
public,user,21
public,member_posts,2
public,token_meta,2
public,profiles,21
public,club_settings,1
public,member_portfolio_data,0
public,member_personal_data,0
public,member_unit_transactions,0
public,staging_member_dues,20
public,email_queue,0
public,schwab_raw_account_responses,0
public,schwab_accounts_import,1
public,members_backup,22
public,schwab_positions_import,30
public,member_login_logs,0
public,tickers,0
public,prices_daily,0
public,financials_annual,0
public,ratios_annual,0
public,groups,0
public,group_members,0
public,ffa_timeline,0
public,watchlists,0
public,watchlist_items,0
public,notes,0