schema,table_name,estimated_rows,total_bytes,total_size,table_size,index_size,comment
public,schwab_positions,1858,1015808,992 kB,696 kB,256 kB,
public,schwab_account_snapshots,18,335872,328 kB,16 kB,80 kB,
public,meeting_report_members,417,327680,320 kB,128 kB,152 kB,
public,members,22,131072,128 kB,8192 bytes,80 kB,
public,schwab_tokens,51,122880,120 kB,40 kB,48 kB,
public,deposits,-1,98304,96 kB,8192 bytes,80 kB,
public,schwab_accounts,1,98304,96 kB,8192 bytes,48 kB,
public,staging_ffa_timeline,403,98304,96 kB,48 kB,16 kB,
public,meeting_report_members_import,417,81920,80 kB,48 kB,0 bytes,
public,org_balance_history,4,81920,80 kB,8192 bytes,64 kB,
public,club_unit_valuations,-1,65536,64 kB,8192 bytes,48 kB,
public,member_accounts,23,65536,64 kB,8192 bytes,48 kB,
public,security_master,28,65536,64 kB,8192 bytes,16 kB,
public,org_documents,-1,65536,64 kB,8192 bytes,48 kB,
public,meeting_reports,21,57344,56 kB,8192 bytes,48 kB,
public,staging_member_monthly_balances,385,49152,48 kB,24 kB,0 bytes,
public,member_dues,-1,49152,48 kB,8192 bytes,32 kB,
public,member_to_auth,-1,49152,48 kB,8192 bytes,32 kB,
public,member_name_aliases,-1,49152,48 kB,8192 bytes,32 kB,
public,member_post_likes,-1,40960,40 kB,8192 bytes,32 kB,
public,member_invite_logs,-1,32768,32 kB,0 bytes,24 kB,
public,member_post_comments,-1,32768,32 kB,8192 bytes,16 kB,
public,payment_history,-1,32768,32 kB,0 bytes,24 kB,
public,unit_prices,-1,32768,32 kB,0 bytes,24 kB,
public,user,-1,32768,32 kB,8192 bytes,16 kB,
public,member_posts,-1,32768,32 kB,8192 bytes,16 kB,
public,token_meta,-1,32768,32 kB,8192 bytes,16 kB,
public,profiles,-1,32768,32 kB,8192 bytes,16 kB,
public,club_settings,-1,32768,32 kB,8192 bytes,16 kB,
public,member_portfolio_data,-1,24576,24 kB,0 bytes,24 kB,
public,member_personal_data,-1,24576,24 kB,0 bytes,16 kB,
public,member_unit_transactions,-1,24576,24 kB,0 bytes,16 kB,
public,staging_member_dues,-1,16384,16 kB,8192 bytes,0 bytes,
public,email_queue,-1,16384,16 kB,0 bytes,8192 bytes,
public,schwab_raw_account_responses,-1,16384,16 kB,0 bytes,8192 bytes,
public,schwab_accounts_import,-1,16384,16 kB,8192 bytes,0 bytes,
public,members_backup,-1,16384,16 kB,8192 bytes,0 bytes,
public,schwab_positions_import,-1,16384,16 kB,8192 bytes,0 bytes,
public,member_login_logs,-1,16384,16 kB,0 bytes,8192 bytes,
public,tickers,-1,16384,16 kB,0 bytes,8192 bytes,
public,prices_daily,-1,16384,16 kB,0 bytes,8192 bytes,
public,financials_annual,-1,16384,16 kB,0 bytes,8192 bytes,
public,ratios_annual,-1,16384,16 kB,0 bytes,8192 bytes,
public,groups,-1,16384,16 kB,0 bytes,8192 bytes,
public,group_members,-1,16384,16 kB,0 bytes,8192 bytes,
public,ffa_timeline,-1,16384,16 kB,0 bytes,8192 bytes,
public,watchlists,-1,16384,16 kB,0 bytes,8192 bytes,
public,watchlist_items,-1,16384,16 kB,0 bytes,8192 bytes,
public,notes,-1,16384,16 kB,0 bytes,8192 bytes,